taxon	sequenceID	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_SRLV/member/ncbi-refseqs-srlv/A15114	A15114	-	ncbi-refseqs-srlv	Visna-maedi virus	-	Iceland	1	A	1951
alignment/AL_SRLV/member/ncbi-refseqs-srlv/AF322109	AF322109	16476978	ncbi-refseqs-srlv	Caprine arthritis encephalitis virus	1GA	Norway	-	C	1991
alignment/AL_SRLV/member/ncbi-refseqs-srlv/AF479638	AF479638	15284480	ncbi-refseqs-srlv	Ovine lentivirus	P1OLV	Portugal	1	A	1996
alignment/AL_SRLV/member/ncbi-refseqs-srlv/AY445885	AY445885	14967484	ncbi-refseqs-srlv	Small ruminant lentivirus	-	Switzerland	4	A	1999
alignment/AL_SRLV/member/ncbi-refseqs-srlv/AY900630	AY900630	-	ncbi-refseqs-srlv	Caprine arthritis encephalitis virus	gansu	China	1	B	1992
alignment/AL_SRLV/member/ncbi-refseqs-srlv/EU293537	EU293537	18987157	ncbi-refseqs-srlv	Caprine arthritis encephalitis virus Roccaverano	Roccaverano	Italy	-	E	2008
alignment/AL_SRLV/member/ncbi-refseqs-srlv/FJ195346	FJ195346	19339126	ncbi-refseqs-srlv	Caprine arthritis encephalitis virus Ov496	496	Spain	1	B	2004
alignment/AL_SRLV/member/ncbi-refseqs-srlv/GQ381130	GQ381130	20060658	ncbi-refseqs-srlv	Caprine arthritis encephalitis virus	Seui	Italy	-	E	2003
alignment/AL_SRLV/member/ncbi-refseqs-srlv/GU120138	GU120138	22566005	ncbi-refseqs-srlv	Caprine arthritis encephalitis virus	Shanxi	China	1	B	2009
alignment/AL_SRLV/member/ncbi-refseqs-srlv/HM210570	HM210570	20932787	ncbi-refseqs-srlv	Small ruminant lentivirus	FESC-752	Mexico	-	-	2004
alignment/AL_SRLV/member/ncbi-refseqs-srlv/HQ848062	HQ848062	21940116	ncbi-refseqs-srlv	Visna-maedi virus	697	Spain	-	A	2005
alignment/AL_SRLV/member/ncbi-refseqs-srlv/JF502416	JF502416	21562119	ncbi-refseqs-srlv	Caprine arthritis encephalitis virus	Fonni	Italy	-	B3	2003
alignment/AL_SRLV/member/ncbi-refseqs-srlv/JF502417	JF502417	21562119	ncbi-refseqs-srlv	Caprine arthritis encephalitis virus	Volterra	Italy	-	B3	2004
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990530	KF990530	24708706	ncbi-curated-srlv	Small ruminant lentivirus	1-MG-9	Switzerland	-	-	2013
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990531	KF990531	24708706	ncbi-curated-srlv	Small ruminant lentivirus	1-MG-10	Switzerland	-	-	2013
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990532	KF990532	24708706	ncbi-curated-srlv	Small ruminant lentivirus	2-PBMC-1	Switzerland	-	-	2011
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990533	KF990533	24708706	ncbi-curated-srlv	Small ruminant lentivirus	3-PBMC-10	Switzerland	-	-	2011
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990534	KF990534	24708706	ncbi-curated-srlv	Small ruminant lentivirus	4-PBMC-15	Switzerland	-	-	2011
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990535	KF990535	24708706	ncbi-curated-srlv	Small ruminant lentivirus	4-PBMC-16	Switzerland	-	-	2011
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990536	KF990536	24708706	ncbi-curated-srlv	Small ruminant lentivirus	4-MG-4	Switzerland	-	-	2013
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990537	KF990537	24708706	ncbi-curated-srlv	Small ruminant lentivirus	4-MG-5	Switzerland	-	-	2013
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990538	KF990538	24708706	ncbi-curated-srlv	Small ruminant lentivirus	5-PBMC-19	Switzerland	-	-	2011
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990539	KF990539	24708706	ncbi-curated-srlv	Small ruminant lentivirus	5-PBMC-24	Switzerland	-	-	2011
alignment/AL_SRLV/member/ncbi-curated-srlv/KF990540	KF990540	24708706	ncbi-curated-srlv	Small ruminant lentivirus	5-MG-7	Switzerland	-	-	2013
alignment/AL_SRLV/member/ncbi-refseqs-srlv/KT898826	KT898826	-	ncbi-refseqs-srlv	Small ruminant lentivirus	Jord1	Jordan	-	F	2007
