taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24083	Mustela_erminea_24083	Mustela_erminea	Mustela_erminea_24083	-	WNLZ01002575.1	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24146	Mustela_erminea_24146	Mustela_erminea	Mustela_erminea_24146	-	WNLZ01001493.1	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24200	Mustela_erminea_24200	Mustela_erminea	Mustela_erminea_24200	-	WNLZ01002847.1	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24268	Mustela_erminea_24268	Mustela_erminea	Mustela_erminea_24268	-	WNLZ01000255.1	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24418	Mustela_erminea_24418	Mustela_erminea	Mustela_erminea_24418	-	WNLZ01000221.1	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24473	Mustela_erminea_24473	Mustela_erminea	Mustela_erminea_24473	-	WNLZ01001134.1	+
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24577	Mustela_erminea_24577	Mustela_erminea	Mustela_erminea_24577	-	WNLZ01002198.1	+
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24665	Mustela_erminea_24665	Mustela_erminea	Mustela_erminea_24665	-	WNLZ01002399.1	+
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24716	Mustela_erminea_24716	Mustela_erminea	Mustela_erminea_24716	-	WNLZ01000603.1	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_erminea_24781	Mustela_erminea_24781	Mustela_erminea	Mustela_erminea_24781	-	WNLZ01002554.1	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_putorius_furo_24082	Mustela_putorius_furo_24082	Mustela_putorius_furo	Mustela_putorius_furo_24082	-	GL896943	+
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_putorius_furo_24243	Mustela_putorius_furo_24243	Mustela_putorius_furo	Mustela_putorius_furo_24243	-	GL897225	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_putorius_furo_24265	Mustela_putorius_furo_24265	Mustela_putorius_furo	Mustela_putorius_furo_24265	-	GL897056	+
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_putorius_furo_24290	Mustela_putorius_furo_24290	Mustela_putorius_furo	Mustela_putorius_furo_24290	-	GL896902	-
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_putorius_furo_24416	Mustela_putorius_furo_24416	Mustela_putorius_furo	Mustela_putorius_furo_24416	-	GL896918	+
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_putorius_furo_24446	Mustela_putorius_furo_24446	Mustela_putorius_furo	Mustela_putorius_furo_24446	-	AEYP01111284	+
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_putorius_furo_24485	Mustela_putorius_furo_24485	Mustela_putorius_furo	Mustela_putorius_furo_24485	-	GL896920	+
alignment/AL_UNC_MELV_5LTR/member/fasta-digs-erv/Mustela_putorius_furo_24613	Mustela_putorius_furo_24613	Mustela_putorius_furo	Mustela_putorius_furo_24613	-	GL897071	-
