Number,Accession,Species,Country,Isolation Year,Submission Year,Genotype,Subtype,Strain/clone,Length,Genomic region,Region
1,A15114,Ovis,Iceland,1949,2005,A,1,Sheep,9202,Genome,Europe
2,AF322109,Capra,Norway,1991,2000,C,C,1GA,8919,Genome,Europe
3,AY101611_U64439,Ovis,USA,1934,1985,AB,AB,85/34,6530,Genome,N. America
4,AY445885,Capra,Switzerland,1999,2003,A,4,G4668,9023,Genome,Europe
5,HQ848062,NULL,Spain,1,1,A,*,OMVV697,9175,Genome,NULL
6,KT898826,Ovis,Jordan,2007,2016,F,F,Jord1,9136,Genome,W. Asia
7,M10608,Ovis,Iceland,1953,A1,A,1,Sheep,9203,Genome,Europe
8,M31646,Ovis,South Africa,1976,1990,A,SA,SA-OMVV,9256,Genome,Africa
9,M34193,Ovis,South Africa,1976,1990,A,SA,SA-OMVV,9256,Genome,Africa
10,M51543,Ovis,Iceland,1952,A1,A,1,Sheep,9202,Genome,Europe
11,M60610,Ovis,Iceland,1949,A1,A,1,Sheep,9225,Genome,Europe
12,NC_001463,Capra,USA,1974,1990,B,1,Clements,9189,Genome,N. America
13,MH916859,Ovis,USA,2017,2018,A,2,1150,9195,Genome,N. America
