taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.1-Galeopterus_variegatus-provirus	ERV-ELVgv.1-Galeopterus_variegatus-provirus	Galeopterus_variegatus	ERV-ELVgv.1-Galeopterus_variegatus-provirus	-	KL152857.1	+
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.10-Galeopterus_variegatus-provirus	ERV-ELVgv.10-Galeopterus_variegatus-provirus	Galeopterus_variegatus	ERV-ELVgv.10-Galeopterus_variegatus-provirus	-	KL143800.1	+
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.100-Galeopterus_variegatus-LTR	ERV-ELVgv.100-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.100-Galeopterus_variegatus-LTR	-	KL144619.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.102-Galeopterus_variegatus-LTR	ERV-ELVgv.102-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.102-Galeopterus_variegatus-LTR	-	KL143970.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.103-Galeopterus_variegatus-LTR	ERV-ELVgv.103-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.103-Galeopterus_variegatus-LTR	-	KL144502.1	+
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.104-Galeopterus_variegatus-LTR	ERV-ELVgv.104-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.104-Galeopterus_variegatus-LTR	-	JMZW01486527.1	+
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.106-Galeopterus_variegatus-LTR	ERV-ELVgv.106-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.106-Galeopterus_variegatus-LTR	-	KL152618.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.107-Galeopterus_variegatus-LTR	ERV-ELVgv.107-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.107-Galeopterus_variegatus-LTR	-	KL143370.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.108-Galeopterus_variegatus-LTR	ERV-ELVgv.108-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.108-Galeopterus_variegatus-LTR	-	JMZW01431583.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.109-Galeopterus_variegatus-LTR	ERV-ELVgv.109-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.109-Galeopterus_variegatus-LTR	-	KL143589.1	+
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.110-Galeopterus_variegatus-LTR	ERV-ELVgv.110-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.110-Galeopterus_variegatus-LTR	-	KL144351.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.111-Galeopterus_variegatus-LTR	ERV-ELVgv.111-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.111-Galeopterus_variegatus-LTR	-	KL158418.1	+
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.112-Galeopterus_variegatus-LTR	ERV-ELVgv.112-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.112-Galeopterus_variegatus-LTR	-	KL143849.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.113-Galeopterus_variegatus-LTR	ERV-ELVgv.113-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.113-Galeopterus_variegatus-LTR	-	KL143632.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.114-Galeopterus_variegatus-LTR	ERV-ELVgv.114-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.114-Galeopterus_variegatus-LTR	-	KL144865.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.115-Galeopterus_variegatus-LTR	ERV-ELVgv.115-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.115-Galeopterus_variegatus-LTR	-	KL145366.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.116-Galeopterus_variegatus-LTR	ERV-ELVgv.116-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.116-Galeopterus_variegatus-LTR	-	JMZW01501533.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.117-Galeopterus_variegatus-LTR	ERV-ELVgv.117-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.117-Galeopterus_variegatus-LTR	-	KL143609.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.118-Galeopterus_variegatus-LTR	ERV-ELVgv.118-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.118-Galeopterus_variegatus-LTR	-	JMZW01460348.1	+
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.119-Galeopterus_variegatus-LTR	ERV-ELVgv.119-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.119-Galeopterus_variegatus-LTR	-	KL151332.1	-
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.12-Galeopterus_variegatus-provirus	ERV-ELVgv.12-Galeopterus_variegatus-provirus	Galeopterus_variegatus	ERV-ELVgv.12-Galeopterus_variegatus-provirus	-	KL142985.1	+
alignment/AL_ELVgv/member/fasta-digs-erv/ERV-ELVgv.13-Galeopterus_variegatus-LTR	ERV-ELVgv.13-Galeopterus_variegatus-LTR	Galeopterus_variegatus	ERV-ELVgv.13-Galeopterus_variegatus-LTR	-	KL148471.1	-
