taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_ROOT/member/ncbi-refseqs/AF033819	AF033819	-	HIV-1M 	Primate	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/DELV-con	DELV-con	Dermoptera	ELVgv	Dermopteran	-	-
alignment/AL_ROOT/member/ncbi-refseqs/M16575	M16575	-	EIAV 	Equine	-	-
alignment/AL_ROOT/member/ncbi-refseqs/M25381	M25381	-	FIV 	Feline	-	-
alignment/AL_ROOT/member/ncbi-refseqs/M32690	M32690	-	BIV 	Bovine	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/MELV-con	MELV-con	Mustelidae	MELVmpf	Mustelid	-	-
alignment/AL_ROOT/member/ncbi-refseqs/NC_001452	NC_001452	-	SRLV-A 	Caprine-Ovine	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/PSIV1-con	PSIV1-con	Microcebus	PSIV1	Prosimian	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/PSIV2-con	PSIV2-con	Cheirogaleus	PSIV2	Prosimian	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/RELIK-con	RELIK-con	Leporidae	RELIK	Leporid	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/SpELV-con	SpELV-con	Pedetes capensis	ELVpc	Pedetes	-	-
