#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Country,Sampling Year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
1,Uz23,8992,AB097177,AB097177,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
2,Uz10,8993,AB097178,AB097178,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
3,Uz35,8994,AB097179,AB097179,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
4,Uz14,8995,AB097180,AB097180,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
5,Uz9,8996,AB097181,AB097181,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
6,Uz18,8997,AB097182,AB097182,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
7,Uz8,8998,AB097183,AB097183,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
8,Uz20,8999,AB097184,AB097184,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
9,Uz30,9000,AB097185,AB097185,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
10,Uz13,9001,AB097186,AB097186,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
11,Uz31,9002,AB097187,AB097187,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
12,Uz34,15171,AB097188,AB097188,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
13,Uz29,9003,AB097189,AB097189,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
14,Uz32,9004,AB097190,AB097190,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
15,Uz4,9005,AB097191,AB097191,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
16,Uz27,9006,AB097192,AB097192,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
17,Uz28,9007,AB097193,AB097193,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
18,Uz24,15172,AB097194,AB097194,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
19,Uz19,9008,AB097195,AB097195,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
20,Uz19,9008,AB097483,AB097483,PLV,HIV-1,M,A,UZBEKISTAN,1999,7011,7336,320,HIV-1
21,,,AF000454,IC2257,PLV,HIV-1,M,A,COTE D'IVOIRE,1995,7050,7400,348,HIV-1
22,,,AF000461,IC3684,PLV,HIV-1,M,A,COTE D'IVOIRE,1995,7050,7400,345,HIV-1
23,,,AF000462,IC3734,PLV,HIV-1,M,A,COTE D'IVOIRE,1995,7050,7400,348,HIV-1
24,,,AF000476,IC3098,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
25,,,AF000477,I63140,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
26,,,AF000479,IC2138,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
27,,,AF000480,IC3530,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
28,,,AF000481,IC3532,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
29,,,AF000483,IC3587,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
30,,,AF000484,IC3589,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
31,,,AF000485,IC3597,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
32,,,AF000486,IC3621,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
33,,,AF000487,IC3627,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
34,,,AF000488,IC3639,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
35,,,AF000489,IC3642,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
36,,,AF000490,IC3669,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
37,,,AF000494,IC3720,PLV,HIV-1,M,A,COTE D'IVOIRE,,2253,2549,297,HIV-1
38,,,AF000496,UG95052,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
39,,,AF000497,UG95053,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
40,,,AF000498,UG95058,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,342,HIV-1
41,,,AF000499,UG95177,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
42,,,AF000500,UG95217,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,342,HIV-1
43,,,AF000501,UG95303,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
44,,,AF000502,UG95321,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,342,HIV-1
45,,,AF000503,UG95329,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
46,,,AF000504,UG95337,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
47,,,AF000505,UG95347,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
48,,,AF000506,UG95360,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
49,,,AF000507,UG95361,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
50,,,AF000508,UG95363,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,348,HIV-1
51,,,AF000509,UG95375,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,339,HIV-1
52,,,AF000510,UG95420,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
53,,,AF000511,UG95421,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,342,HIV-1
54,,,AF000512,UG95454,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
55,,,AF000513,UG95456,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,348,HIV-1
56,,,AF000514,UG95517,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,342,HIV-1
57,,,AF000515,UG95539,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
58,,,AF000516,UG95563,PLV,HIV-1,M,A,UGANDA,1995,7050,7400,345,HIV-1
59,,,AF000517,UG25,PLV,HIV-1,M,A,UGANDA,,2253,2549,297,HIV-1
60,,,AF000518,UG6,PLV,HIV-1,M,A,UGANDA,,2253,2549,297,HIV-1
61,,,AF000519,UG61,PLV,HIV-1,M,A,UGANDA,,2253,2549,297,HIV-1
62,4240,24,AF004240,93001,PLV,HIV-1,M,A,SINGAPORE,1994,6858,7289,428,HIV-1
63,B97,3953,AF004890,B97_CbA,PLV,HIV-1,M,A,KENYA,1993,6693,7217,531,HIV-1
64,Q23,7,AF004893,Q23_CxC,PLV,HIV-1,M,A,KENYA,1993,6615,7217,590,HIV-1
65,Q03,3955,AF004894,Q03_CxA_Q1284_PNS53d,PLV,HIV-1,M,A,KENYA,1994,6615,7217,584,HIV-1
66,B201child,13607,AF004897,B01_CBA,PLV,HIV-1,M,A,KENYA,1993,6636,7217,583,HIV-1
67,102_938,1650,AF006839,102_938,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
68,122_335,13998,AF006846,122_335,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
69,122_335,13998,AF006847,122_335,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
70,127_568,1645,AF006850,127_568,PLV,HIV-1,M,A,UGANDA,1993,7875,8274,400,HIV-1
71,129_733,1643,AF006854,129_733,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
72,129_733,1643,AF006855,129_733,PLV,HIV-1,M,A,UGANDA,1993,1255,1482,228,HIV-1
73,129_735,1642,AF006856,129_735,PLV,HIV-1,M,A,UGANDA,1993,7884,8271,388,HIV-1
74,129_735,1642,AF006857,129_735,PLV,HIV-1,M,A,UGANDA,1993,1255,1685,431,HIV-1
75,134_447,13997,AF006860,134_447,PLV,HIV-1,M,A,UGANDA,1993,7887,8267,381,HIV-1
76,134_447,13997,AF006861,134_447,PLV,HIV-1,M,A,UGANDA,1993,1294,1658,365,HIV-1
77,135_544,1639,AF006864,135_544,PLV,HIV-1,M,A,UGANDA,1993,7893,8243,351,HIV-1
78,135_544,1639,AF006865,135_544,PLV,HIV-1,M,A,UGANDA,1993,1297,1658,362,HIV-1
79,140_223,1638,AF006866,140_223,PLV,HIV-1,M,A,UGANDA,1993,7890,8263,374,HIV-1
80,140_223,1638,AF006867,140_223,PLV,HIV-1,M,A,UGANDA,1993,1267,1696,430,HIV-1
