taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_MELV/member/fasta-digs-erv/MELV.1-Mustela_erminea	MELV.1-Mustela_erminea	Mustela erminea	MELV	-	WNLZ01000603.1	-
alignment/AL_MELV/member/fasta-digs-erv/MELV.2-Mustela_erminea	MELV.2-Mustela_erminea	Mustela erminea	MELV	-	WNLZ01000221.1	-
alignment/AL_MELV/member/fasta-digs-erv/MELV.2-Mustela_putorius_furo	MELV.2-Mustela_putorius_furo	Mustela putorius furo	MELV	-	GL897225	-
alignment/AL_MELV/member/fasta-digs-erv/MELV.2-Neovison_vison	MELV.2-Neovison_vison	Neovison vison	MELV	-	FNWR01001227.1	+
alignment/AL_MELV/member/fasta-digs-erv/MELV.3-Mustela_erminea	MELV.3-Mustela_erminea	Mustela erminea	MELV	-	WNLZ01003095.1	+
alignment/AL_MELV/member/fasta-digs-erv/MELV.3-Mustela_putorius_furo	MELV.3-Mustela_putorius_furo	Mustela putorius furo	MELV	-	GL897027	-
alignment/AL_MELV/member/fasta-digs-erv/MELV.4-Mustela_putorius_furo	MELV.4-Mustela_putorius_furo	Mustela putorius furo	MELV	-	AEYP01111284	+
alignment/AL_MELV/member/fasta-digs-erv/MELV.4-Neovison_vison	MELV.4-Neovison_vison	Neovison vison	MELV	-	FNWR01000254.1	+
alignment/AL_MELV/member/fasta-digs-erv/MELV.5-Mustela_putorius_furo	MELV.5-Mustela_putorius_furo	Mustela putorius furo	MELV	-	GL896920	+
alignment/AL_MELV/member/fasta-digs-erv/MELV.5-Neovison_vison	MELV.5-Neovison_vison	Neovison vison	MELV	-	FNWR01000348.1	-
alignment/AL_MELV/member/fasta-digs-erv/MELV.3-Neovison_vison	MELV.3-Neovison_vison	Neovison vison	MELV	-	FNWR01000502.1	-
alignment/AL_MELV/member/fasta-digs-erv/MELV.5-Mustela_erminea	MELV.5-Mustela_erminea	Mustela erminea	MELV	-	WNLZ01002198.1	+
