taxon	sequenceID	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454234	AY454234	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5056	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454235	AY454235	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5057	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454236	AY454236	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5058	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454237	AY454237	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5059	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454238	AY454238	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5397	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454239	AY454239	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5406	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454240	AY454240	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5472	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454241	AY454241	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5484	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454242	AY454242	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5486	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454245	AY454245	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5526	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454248	AY454248	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5563	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454249	AY454249	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5564	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454250	AY454250	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5568	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454251	AY454251	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5570	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454252	AY454252	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5572	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454253	AY454253	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5574	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454254	AY454254	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5578	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454256	AY454256	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5591	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454257	AY454257	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5592	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454259	AY454259	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5638	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454260	AY454260	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5639	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454261	AY454261	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5645	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454262	AY454262	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5651	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454263	AY454263	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5652	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454264	AY454264	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5660	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454265	AY454265	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5661	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454266	AY454266	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5663	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454267	AY454267	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5666	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454270	AY454270	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5669	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454271	AY454271	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5673	Switzerland	1	B	1999
alignment/AL_SRLV_B/member/ncbi-curated-srlv/AY454272	AY454272	14967484	ncbi-curated-srlv	Small ruminant lentivirus	SNCR5674	Switzerland	1	B	1999
