sequenceID	record_ID	organism	virus_subgenus	virus_clade	assigned_name	assigned_gene	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches
1950887_Crocidura_indochinensis	1950887	Crocidura_indochinensis	Non-primate	Insectivore	RELIK	gag	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	ORF	PVKC010247235.1	1673	2272	600	+	85	30	2	20	291	455	1	597	200	6	104
2564201_Crocidura_indochinensis	2564201	Crocidura_indochinensis	Non-primate	Insectivore	RELIK	gag	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	ORF	PVKC010304285.1	670	1272	603	+	89	30	1	21	289	455	1	600	200	5	107
2566046_Galeopterus_variegatus	2566046	Galeopterus_variegatus	Non-primate	Colugo	MELVmpf	gag	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	ORF	JMZW01485036.1	22	564	543	-	106	35.429	2	28	294	455	1	507	175	6	94
2631927_Galeopterus_variegatus	2631927	Galeopterus_variegatus	Non-primate	Colugo	MELVmpf	pol	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	ORF	KL143158.1	72223	73827	1605	+	250	34.343	1	73	1	470	1	1410	495	10	275
2566047_Galeopterus_variegatus	2566047	Galeopterus_variegatus	Non-primate	Colugo	MELVmpf	gag	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	ORF	KL148477.1	15306	15641	336	+	89	42.056	6	23	310	411	7	324	107	3	56
2631921_Galeopterus_variegatus	2631921	Galeopterus_variegatus	Non-primate	Colugo	HIV-1-CRF02	pol	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	ORF	KL150894.1	33344	34548	1205	-	146	40	3	39	33	269	420	1091	250	9	111
2566044_Galeopterus_variegatus	2566044	Galeopterus_variegatus	Non-primate	Colugo	MELVmpf	gag	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	ORF	KL152857.1	63515	63922	408	+	101	34.127	4	27	234	359	10	384	126	1	82
2631926_Galeopterus_variegatus	2631926	Galeopterus_variegatus	Non-primate	Colugo	MELVmpf	pol	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	ORF	KL152857.1	64043	65489	1447	+	234	42.955	8	84	195	482	581	1447	291	3	161
2566048_Galeopterus_variegatus	2566048	Galeopterus_variegatus	Non-primate	Colugo	RELIK	gag	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	ORF	KL153624.1	39625	40461	837	+	139	32.932	3	39	240	476	100	798	249	7	139
2978724_Lepus_americanus	2978724	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010000760.1	63445	63929	485	-	651	90.763	0	1	1	496	1	485	498	2	31
2978812_Lepus_americanus	2978812	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010000877.1	69671	70155	485	+	444	92.357	1	128	47	359	1	311	314	3	20
2978669_Lepus_americanus	2978669	Lepus_americanus	Non-primate	Lagomorph	RELIK	LTR	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	UTR	PVJM010001062.1	83461	83956	496	-	712	92.555	0	1	1	496	1	496	497	2	35
1433442_Lepus_americanus	1433442	Lepus_americanus	Non-primate	Lagomorph	RELIK	env	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010001062.1	84429	85697	1269	-	311	92.063	4	165	471	659	184	750	189	0	15
2647619_Lepus_americanus	2647619	Lepus_americanus	Non-primate	Lagomorph	RELIK	pol	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	ORF	PVJM010001062.1	85837	90188	4352	-	1017	84.738	0	1	246	868	1768	3633	629	4	83
