#,Patient Code,PAT id(SSAM),Accession,Name,Subtype,Country,Sampling Year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
1,31,3141,AB098330,UG031,A1,UGANDA,,1,9632,9616,HIV-1
2,31,3141,AB098331,UG031,A1,UGANDA,,1,9632,9616,HIV-1
3,UG029,638,AB098332,UG029,A1,UGANDA,1992,1,9632,9629,HIV-1
4,UG029,638,AB098333,UG029,A1,UGANDA,1992,1,9632,9635,HIV-1
5,RW008,606,AB253421,92RW008,A1,RWANDA,1992,1,9632,9643,HIV-1
6,RW008,606,AB253422,92RW008,A1,RWANDA,1992,1,9632,9636,HIV-1
7,UG037,5,AB253428,92UG037_A35,A1,UGANDA,1992,1,9632,9687,HIV-1
8,UG037,5,AB253429,92UG037_A40,A1,UGANDA,1992,1,9632,9690,HIV-1
9,025,13769,AB287376,92RW025A,A1,RWANDA,1992,1,9632,9638,HIV-1
10,025,13769,AB287377,92RW025A,A1,RWANDA,1992,1,9632,9638,HIV-1
11,037,15848,AB287378,93RW037A,A1,RWANDA,1993,1,9632,9636,HIV-1
12,037,15848,AB287379,93RW037A,A1,RWANDA,1993,1,9632,9644,HIV-1
13,UG275,4742,AB485632,UG275,A1,UGANDA,,1,9632,9630,HIV-1
14,Q23,7,AF004885,Q23_17,A1,KENYA,1994,531,9708,9160,HIV-1
15,SE8538,145,AF069669,SE8538,A1,SWEDEN,1995,796,9605,8816,HIV-1
16,SE7253,146,AF069670,SE7253,A1,SWEDEN,1994,794,9603,8813,HIV-1
17,SE7535,62,AF069671,SE7535,A1,SWEDEN,1994,769,9603,8859,HIV-1
18,SE8891,144,AF069673,SE8891,A1,SWEDEN,1995,796,9606,8785,HIV-1
19,SE8131,314,AF107771,UGSE8131,A1,SWEDEN,1995,623,9638,9016,HIV-1
20,2,3034,AF361872,97TZ02,A1,TANZANIA,1997,794,9625,8829,HIV-1
21,3,3035,AF361873,97TZ03,A1,TANZANIA,1997,627,9661,9046,HIV-1
22,KER2008,4232,AF457052,KER2008,A1,KENYA,2000,796,9603,8804,HIV-1
23,KER2009,4233,AF457053,KER2009,A1,KENYA,2000,796,9603,8833,HIV-1
24,KER_2012,4235,AF457055,KER2012,A1,KENYA,2000,796,9603,8807,HIV-1
25,KNH1088,4242,AF457063,KNH1088,A1,KENYA,1999,796,9603,8799,HIV-1
26,KNH1135,14340,AF457065,KNH1135,A1,KENYA,1999,796,9603,8825,HIV-1
27,KNH1144,4244,AF457066,KNH1144,A1,KENYA,2000,796,9603,8852,HIV-1
28,KNH1199,4245,AF457067,KNH1199,A1,KENYA,2000,796,9598,8880,HIV-1
29,KNH1207,4246,AF457068,KNH1207,A1,KENYA,2000,796,9603,8816,HIV-1
30,KNH1209,4247,AF457069,KNH1209,A1,KENYA,2000,796,9603,8818,HIV-1
31,KNH1211,4248,AF457070,KNH1211,A1,KENYA,2000,796,9603,8811,HIV-1
32,KSM4021,4252,AF457075,KSM4021,A1,KENYA,1999,796,9603,8822,HIV-1
33,KSM4024,4254,AF457077,KSM4024,A1,KENYA,2000,796,9603,8744,HIV-1
34,KSM4030,4255,AF457079,KSM4030,A1,KENYA,2000,796,9603,8771,HIV-1
35,KSM4069,4256,AF457080,MSA4069,A1,KENYA,2000,796,9603,8825,HIV-1
36,MSA4070,4257,AF457081,MSA4070,A1,KENYA,2000,796,9603,8827,HIV-1
37,MSA4072,4259,AF457083,MSA4072,A1,KENYA,2000,796,9603,8800,HIV-1
38,MSA4076,14343,AF457084,MSA4076,A1,KENYA,2000,796,9603,8819,HIV-1
39,MSA4079,4261,AF457086,MSA4079,A1,KENYA,2000,796,9603,8829,HIV-1
40,NKU3005,4264,AF457089,NKU3005,A1,KENYA,2000,796,9563,8791,HIV-1
41,A07072,3974,AF484478,99UGA07072,A1,UGANDA,1999,796,9603,8824,HIV-1
42,G03379,3990,AF484493,99UGG03379,A1,UGANDA,1999,796,9603,8835,HIV-1
43,57134,14286,AF484507,98UG57134,A1,UGANDA,1998,796,9603,8853,HIV-1
44,57135,3965,AF484508,98UG57135,A1,UGANDA,1998,796,9603,8824,HIV-1
45,57136,3966,AF484509,98UG57136,A1,UGANDA,1998,796,9603,8807,HIV-1
46,57142,3970,AF484512,98UG57142,A1,UGANDA,1998,796,9603,8852,HIV-1
47,ML170,3000,AF539405,ML170_1986,A1,KENYA,1986,655,9673,8995,HIV-1
48,173,4776,AY253305,A173,A1,TANZANIA,2001,796,9569,8766,HIV-1
49,341,4777,AY253314,A341,A1,TANZANIA,2001,796,9569,8758,HIV-1
50,013,4708,AY322184,ML013_10,A1,KENYA,1986,617,9639,8996,HIV-1
51,013,4708,AY322185,ML013_2,A1,KENYA,1997,539,9641,9082,HIV-1
52,ML605,27239,AY322190,ML605_3,A1,KENYA,1997,535,9639,9164,HIV-1
53,ML752,4781,AY322193,ML752,A1,KENYA,1997,536,9639,9082,HIV-1
54,RW024,9686,AY713406,93RW_024,A1,RWANDA,1993,796,9571,8797,HIV-1
55,UG029,638,AY713407,92UG_029,A1,UGANDA,1992,796,9571,8820,HIV-1
56,1044,16550,DQ676872,PS1044_Day0,A1,AUSTRALIA,2003,790,9414,8667,HIV-1
57,1044,16550,DQ676873,PS1044_Day177,A1,AUSTRALIA,2004,790,9414,8667,HIV-1
58,ML752,4781,EU110085,ML752,A1,KENYA,2001,671,9596,9009,HIV-1
59,ML1901,27715,EU110087,ML1901,A1,KENYA,2001,673,9591,8940,HIV-1
60,ML1945,27481,EU110088,ML1945,A1,KENYA,2001,671,9591,8951,HIV-1
61,ML1990,27717,EU110092,ML1990,A1,KENYA,2002,670,9596,8943,HIV-1
62,ML2014,27497,EU110094,ML2014,A1,KENYA,2002,671,9596,8922,HIV-1
