taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.1-Lepus_timidus-provirus	ERV-RELIK.1-Lepus_timidus-provirus	Lepus_timidus	ERV-RELIK.1-Lepus_timidus-provirus	-	CM019673.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.10-Lepus_americanus-provirus	ERV-RELIK.10-Lepus_americanus-provirus	Lepus_americanus	ERV-RELIK.10-Lepus_americanus-provirus	-	PVJM010058017.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.10-Lepus_timidus-provirus	ERV-RELIK.10-Lepus_timidus-provirus	Lepus_timidus	ERV-RELIK.10-Lepus_timidus-provirus	-	CM019676.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.10-Oryctolagus_cuniculus-provirus	ERV-RELIK.10-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.10-Oryctolagus_cuniculus-provirus	-	chr13	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.100-Oryctolagus_cuniculus-LTR	ERV-RELIK.100-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.100-Oryctolagus_cuniculus-LTR	-	chrX	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.101-Lepus_americanus-LTR	ERV-RELIK.101-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.101-Lepus_americanus-LTR	-	PVJM010062494.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.101-Lepus_timidus-LTR	ERV-RELIK.101-Lepus_timidus-LTR	Lepus_timidus	ERV-RELIK.101-Lepus_timidus-LTR	-	CM019683.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.101-Oryctolagus_cuniculus-LTR	ERV-RELIK.101-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.101-Oryctolagus_cuniculus-LTR	-	chr11	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.102-Lepus_americanus-LTR	ERV-RELIK.102-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.102-Lepus_americanus-LTR	-	PVJM010247098.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.102-Lepus_timidus-LTR	ERV-RELIK.102-Lepus_timidus-LTR	Lepus_timidus	ERV-RELIK.102-Lepus_timidus-LTR	-	CM019676.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.103-Lepus_americanus-LTR	ERV-RELIK.103-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.103-Lepus_americanus-LTR	-	PVJM010008286.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.103-Oryctolagus_cuniculus-LTR	ERV-RELIK.103-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.103-Oryctolagus_cuniculus-LTR	-	chr12	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.104-Lepus_americanus-LTR	ERV-RELIK.104-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.104-Lepus_americanus-LTR	-	PVJM010056013.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.104-Oryctolagus_cuniculus-LTR	ERV-RELIK.104-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.104-Oryctolagus_cuniculus-LTR	-	chr15	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.105-Lepus_americanus-LTR	ERV-RELIK.105-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.105-Lepus_americanus-LTR	-	PVJM010020826.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.105-Oryctolagus_cuniculus-LTR	ERV-RELIK.105-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.105-Oryctolagus_cuniculus-LTR	-	chr9	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.106-Lepus_americanus-LTR	ERV-RELIK.106-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.106-Lepus_americanus-LTR	-	PVJM010023172.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.106-Oryctolagus_cuniculus-LTR	ERV-RELIK.106-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.106-Oryctolagus_cuniculus-LTR	-	chr11	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.107-Lepus_americanus-LTR	ERV-RELIK.107-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.107-Lepus_americanus-LTR	-	PVJM010030299.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.108-Lepus_americanus-LTR	ERV-RELIK.108-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.108-Lepus_americanus-LTR	-	PVJM010022642.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.108-Oryctolagus_cuniculus-LTR	ERV-RELIK.108-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.108-Oryctolagus_cuniculus-LTR	-	chr8	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.109-Lepus_americanus-LTR	ERV-RELIK.109-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.109-Lepus_americanus-LTR	-	PVJM010447409.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.109-Oryctolagus_cuniculus-LTR	ERV-RELIK.109-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.109-Oryctolagus_cuniculus-LTR	-	chr2	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.11-Lepus_americanus-provirus	ERV-RELIK.11-Lepus_americanus-provirus	Lepus_americanus	ERV-RELIK.11-Lepus_americanus-provirus	-	PVJM010097211.1	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.11-Oryctolagus_cuniculus-provirus	ERV-RELIK.11-Oryctolagus_cuniculus-provirus	Oryctolagus_cuniculus	ERV-RELIK.11-Oryctolagus_cuniculus-provirus	-	chr4	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.110-Lepus_americanus-LTR	ERV-RELIK.110-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.110-Lepus_americanus-LTR	-	PVJM010400464.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.110-Oryctolagus_cuniculus-LTR	ERV-RELIK.110-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.110-Oryctolagus_cuniculus-LTR	-	chrX	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.111-Lepus_americanus-LTR	ERV-RELIK.111-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.111-Lepus_americanus-LTR	-	PVJM010093631.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.111-Oryctolagus_cuniculus-LTR	ERV-RELIK.111-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.111-Oryctolagus_cuniculus-LTR	-	chrX	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.114-Oryctolagus_cuniculus-LTR	ERV-RELIK.114-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.114-Oryctolagus_cuniculus-LTR	-	chr7	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.115-Oryctolagus_cuniculus-LTR	ERV-RELIK.115-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.115-Oryctolagus_cuniculus-LTR	-	chrX	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.116-Oryctolagus_cuniculus-LTR	ERV-RELIK.116-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.116-Oryctolagus_cuniculus-LTR	-	chr12	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.117-Lepus_americanus-LTR	ERV-RELIK.117-Lepus_americanus-LTR	Lepus_americanus	ERV-RELIK.117-Lepus_americanus-LTR	-	PVJM010018528.1	+
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.118-Oryctolagus_cuniculus-LTR	ERV-RELIK.118-Oryctolagus_cuniculus-LTR	Oryctolagus_cuniculus	ERV-RELIK.118-Oryctolagus_cuniculus-LTR	-	chr7	-
alignment/AL_RELIK/member/fasta-digs-erv/ERV-RELIK.12-Lepus_americanus-provirus	ERV-RELIK.12-Lepus_americanus-provirus	Lepus_americanus	ERV-RELIK.12-Lepus_americanus-provirus	-	PVJM010103373.1	+
